PARAMCD,DESCRIPTION,SOURCE_DATASET,SOURCE_TESTCD_VAR,SOURCE_TESTCD,SOURCE_TEST_VAR,SOURCE_TEST,SOURCE_VALUE_VAR,N_RECORDS,N_SUBJECTS,N_VISITS,UNITS,VISITS
ARCHCH,Architectural Change (Grade 0),MI,MITESTCD,GEB0L,MITEST,Structure Architectural Change,MISTRESN,203,103,2,,SCREENING | WEEK 12/ET PART 1
CALPPP,Fecal Calprotectin (mg/kg) (Primary ICE Approach),LB,LBTESTCD,CALPRO,LBTEST,Calprotectin,LBSTRESN,294,105,3,mg/kg,BASELINE/WEEK 0 | WEEK 8 | WEEK 12/ET PART 2
CHRIINF,Chronic Inflammatory Infiltrate (Grade 1),MI,MITESTCD,GEB1L,MITEST,Chronic Inflammatory Infiltrate,MISTRESN,203,103,2,,SCREENING | WEEK 12/ET PART 1
CRPP,C Reactive Protein (mg/L) (Primary ICE Approach),LB,LBTESTCD,CRP,LBTEST,C Reactive Protein,LBSTRESN,293,105,3,mg/L,BASELINE/WEEK 0 | WEEK 8 | WEEK 12/ET PART 2
CRYPTDES,Crypt Destruction (Grade 4),MI,MITESTCD,GEB4L,MITEST,Crypt Destruction,MISTRESN,203,103,2,,SCREENING | WEEK 12/ET PART 1
ENCSCORE,Endoscopy Central Score (Primary Reader),QSMS,QSTESTCD,MS0109,QSTEST,MS01-Central Read Endoscopy Score,QSSTRESN,192,105,2,,BASELINE/WEEK 0 | WEEK 12/ET PART 2
ENLSCORE,Endoscopy Local Score,QSMS,QSTESTCD,MS0113,QSTEST,MS01-Site Entered Endoscopy Score,QSSTRESN,19,18,2,,WEEK 12/ET PART 2 | BASELINE/WEEK 0
EOS,Eosinophils (10^9/L),LB,LBTESTCD,EOS,LBTEST,Eosinophils,LBSTRESN,503,119,6,10^9/L,SCREENING | BASELINE/WEEK 0 | WEEK 4 | WEEK 8 | WEEK 12/ET PART 2 | WEEK 28
GBTOT,Geboes total score,MI,MITESTCD,TOTGEB,MITEST,Total Geboes,MISTRESN,203,103,2,,SCREENING | WEEK 12/ET PART 1
MAYO,Mayo Score,QSMS,QSTESTCD,MS0107,QSTEST,MS01-Total Mayo Score,QSSTRESN,209,108,2,,BASELINE/WEEK 0 | WEEK 12/ET PART 2
NEUTEP,Neutrophils Epithelium (Grade 3),MI,MITESTCD,GEB3L,MITEST,Neutrophils in Epithelium,MISTRESN,203,103,2,,SCREENING | WEEK 12/ET PART 1
PGSCORE,Physician Global Assessment Score,QSPG,QSTESTCD,PGA0101,QSTEST,PGA01-Physician Global Assessment,QSSTRESN,411,108,4,,BASELINE/WEEK 0 | WEEK 4 | WEEK 8 | WEEK 12/ET PART 2
RBSCORE,Rectal Bleeding Score,QSMS,QSTESTCD,MS0105,QSTEST,MS01-Average Rectal Bleeding Score,QSSTRESN,408,108,4,,BASELINE/WEEK 0 | WEEK 4 | WEEK 8 | WEEK 12/ET PART 2
RHI,Robarts Histopathology Index,MI,MITESTCD,RHI,MITEST,Robarts Histopathology Index,MISTRESN,203,103,2,,SCREENING | WEEK 12/ET PART 1
SFSCORE,Stool Frequency Score,QSMS,QSTESTCD,MS0103,QSTEST,MS01-Average Stool Frequency Score,QSSTRESN,408,108,4,,BASELINE/WEEK 0 | WEEK 4 | WEEK 8 | WEEK 12/ET PART 2
ULCER,Erosion or Ulceration (Grade 5),MI,MITESTCD,GEB5L,MITEST,Erosion or Ulceration,MISTRESN,203,103,2,,SCREENING | WEEK 12/ET PART 1
